date,company,email_or_profile,opportunity_mentioned,status,next_follow_up,notes
2026-07-03,CYFOR,contact@cyfor.co.uk,BLC0109 - Digital Forensic Services DPS,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; public-sector digital forensics angle
2026-07-03,Forensic Control,hello@forensiccontrol.com,BLC0109 - Digital Forensic Services DPS,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; London cyber essentials and digital forensics angle
2026-07-03,Athena Forensics,enquiries@athenaforensics.co.uk,BLC0109 - Digital Forensic Services DPS,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; forensics provider angle
2026-07-03,CSIQ,info@csiq.co.uk,IT and Cyber Security Services,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; MSP and reseller partner angle
2026-07-03,CyberGlobal,info@cybergl.com,IT and Cyber Security Services,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; MSP cyber portfolio angle
2026-07-03,EBC Group,hello@ebcgroup.co.uk,IT and Cyber Security Services,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; public-sector IT services angle
2026-07-03,Public Digital,contact@public.digital,Cyber Security Services 3,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; cyber consultancy and public-sector angle
2026-07-03,Bridewell,hello@bridewell.com,Cyber Security Services 3,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; managed cyber and regulated sectors angle
2026-07-03,NCC Group,response@nccgroup.com,Cyber Security Services 3,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; public-sector cyber services angle
2026-07-03,Coreitech,sales@coreitech.co.uk,IT and Cyber Security Services,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; small-business cyber services angle
2026-07-03,i3Secure,info@i3secure.co.uk,Cyber Security Services 3,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail
2026-07-03,Arcanum Cyber,contact@arcanum-cyber.com,Cyber Security Services 3,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail
2026-07-03,Disking IT,hello@diskingit.co.uk,IT and Cyber Security Services,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail
2026-07-03,IntaForensics,sales@intaforensics.com,BLC0109 - Digital Forensic Services DPS,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail
2026-07-03,Digital Forensics Investigations,info@computerforensicslab.co.uk,BLC0109 - Digital Forensic Services DPS,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail
2026-07-03,EJN Labs,Contact@ejnlabs.com,Cyber Security Services 3,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail
2026-07-03,Cyberis,sales@cyberis.com,Cyber Security Services 3,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail
2026-07-03,LeftBrain,hi@leftbrain.io,Cyber Security Services 3,sent,2026-07-06,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail
