date,company,contact_name,email_or_profile,niche,opportunity_mentioned,status,next_follow_up,source_url,notes
2026-07-03,CYFOR,,contact@cyfor.co.uk,digital forensics,BLC0109 - Digital Forensic Services DPS,no_reply_followup_drafted,,https://www.cyforgroup.co.uk/contact-us,Sent from cybertenderbusiness@gmail.com; public-sector digital forensics angle; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,Forensic Control,,hello@forensiccontrol.com,digital forensics,BLC0109 - Digital Forensic Services DPS,no_reply_followup_drafted,,https://forensiccontrol.com/contact/,Sent from cybertenderbusiness@gmail.com; London cyber essentials and digital forensics angle; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,Athena Forensics,,enquiries@athenaforensics.co.uk,digital forensics,BLC0109 - Digital Forensic Services DPS,no_reply_followup_drafted,,https://athenaforensics.co.uk/contact/,Sent from cybertenderbusiness@gmail.com; forensics provider angle; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,CSIQ,,info@csiq.co.uk,MSP cyber partner,IT and Cyber Security Services,no_reply_followup_drafted,,https://www.csiq.co.uk/contact-us/,Sent from cybertenderbusiness@gmail.com; MSP and reseller partner angle; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,CyberGlobal,,info@cybergl.com,MSP cyber partner,IT and Cyber Security Services,no_reply_followup_drafted,,https://cybergl.com/msp-partners/,Sent from cybertenderbusiness@gmail.com; MSP cyber portfolio angle; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,EBC Group,,hello@ebcgroup.co.uk,public-sector IT services,IT and Cyber Security Services,no_reply_followup_drafted,,https://www.ebcgroup.co.uk/get-in-touch,Sent from cybertenderbusiness@gmail.com; public-sector IT services angle; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,Public Digital,,contact@public.digital,cyber consultancy,Cyber Security Services 3,no_reply_followup_drafted,,https://public.digital/our-services/cyber-security,Sent from cybertenderbusiness@gmail.com; cyber consultancy and public-sector angle; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,Bridewell,,hello@bridewell.com,managed cyber services,Cyber Security Services 3,no_reply_followup_drafted,,https://www.ncsc.gov.uk/organisation/bridewell,Sent from cybertenderbusiness@gmail.com; managed cyber and regulated sectors angle; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,NCC Group,,response@nccgroup.com,public-sector cyber,Cyber Security Services 3,no_reply_followup_drafted,,https://www.nccgroup.com/terms-and-conditions/,Sent from cybertenderbusiness@gmail.com; public-sector cyber services angle; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,Coreitech,,sales@coreitech.co.uk,small-business cyber,IT and Cyber Security Services,no_reply_followup_drafted,,https://coreitech.co.uk/contact-us,Sent from cybertenderbusiness@gmail.com; small-business cyber services angle; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,i3Secure,,info@i3secure.co.uk,public-sector cyber consultancy,Cyber Security Services 3,no_reply_followup_drafted,,https://i3secure.co.uk/sectors/public-sector-cyber-security/,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,Arcanum Cyber,,contact@arcanum-cyber.com,NCSC assured cyber consultancy,Cyber Security Services 3,no_reply_followup_drafted,,https://arcanum-cyber.com/penetration-testing/,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,Disking IT,,hello@diskingit.co.uk,public-sector IT and cyber support,IT and Cyber Security Services,no_reply_followup_drafted,,https://diskingit.co.uk/public-sector-it-support/,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,IntaForensics,,sales@intaforensics.com,digital forensics and cyber security,BLC0109 - Digital Forensic Services DPS,no_reply_followup_drafted,,https://www.intaforensics.com/,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,Digital Forensics Investigations,,info@computerforensicslab.co.uk,digital forensics,BLC0109 - Digital Forensic Services DPS,no_reply_followup_drafted,,https://digitalforensicsinvestigations.uk/contact/,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,EJN Labs,,Contact@ejnlabs.com,public-sector penetration testing,Cyber Security Services 3,no_reply_followup_drafted,,https://ejnlabs.com/sectors/public-sector-penetration-testing/,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,Cyberis,,sales@cyberis.com,public-sector penetration testing,Cyber Security Services 3,no_reply_followup_drafted,,https://www.cyberis.com/public-sector-government,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
2026-07-03,LeftBrain,,hi@leftbrain.io,NCSC assured cyber consultancy,Cyber Security Services 3,no_reply_followup_drafted,,https://www.leftbrain.io/why-us/ncsc-assured-cyber-security-consultancy/,Sent from cybertenderbusiness@gmail.com; second-batch brand sender verified in Gmail; no reply or bounce found on 2026-07-06; follow-up draft created in Gmail; no reply or bounce found on 2026-07-08; Gmail draft still pending send
