matchScore,confidence,source,market,title,buyer,valueLabel,deadlineDate,deadlineInDays,url,whyItMatters
100,High,UK Contracts Finder,UK,"Independent Evaluation of the Better Security, Better Care Programme (October 2025 to October 2028)",Better Security Better Care,GBP 100k,2026-10-18,25,https://www.contractsfinder.service.gov.uk/notice/490c2177-bd1c-43b0-b35a-896eba9862dc,"Matches cyber, cyber security, data protection; marked SME-suitable; value around GBP 100k; deadline in 25 days."
88,High,UK Contracts Finder,UK,Cyber Security Services 3,Government Commercial Agency,GBP 800.0m,2029-02-11,872,https://www.contractsfinder.service.gov.uk/notice/4c8a6f7a-ea75-4463-b05a-a56c140a7582,"Matches cyber, cyber security, it services; marked SME-suitable; value around GBP 800.0m; deadline in 872 days."
88,High,UK Contracts Finder,UK,IT and Cyber Security Services,Procurement Assist Limited c/o Integrated Facilities Management Bolton Ltd (iFM Bolton),GBP 75.0m,2029-05-31,981,https://www.contractsfinder.service.gov.uk/notice/0540e547-aeb2-4e3a-a165-8dd00c8efb30,"Matches cyber, cyber security, it services; marked SME-suitable; value around GBP 75.0m; deadline in 981 days."
84,High,UK Contracts Finder,UK,Procurement Purchase to Pay System,MAXIMUS UK SERVICES LIMITED,GBP 100k,2026-10-15,22,https://www.contractsfinder.service.gov.uk/notice/b94dec1d-c3c2-4aca-af15-7c5476d9241e,"Matches cyber, iso 27001, gdpr; marked SME-suitable; value around GBP 100k; deadline in 22 days."
81,High,UK Contracts Finder,UK,BLC0109 - Digital Forensic Services DPS,BlueLight Commercial,GBP 60.0m,2027-02-28,158,https://www.contractsfinder.service.gov.uk/notice/d01b3b0e-1813-44f9-9e33-f72dd1f53c30,"Matches digital forensics, digital; marked SME-suitable; value around GBP 60.0m; deadline in 158 days."
72,High,Grants.gov,US,Advisory Support for Establishing a National Cybersecurity Operations Center (SOC),Bureau of Emerging Threats,Grant value varies,2026-10-16,23,https://www.grants.gov/search-results-detail/363843,"Matches cyber, cybersecurity, soc; deadline in 23 days."
57,Medium,Grants.gov,US,Cybersecurity Innovation for Cyberinfrastructure,U.S. National Science Foundation,Grant value varies,2027-01-20,119,https://www.grants.gov/search-results-detail/358004,"Matches cyber, cybersecurity; deadline in 119 days."
50,Medium,Grants.gov,US,Artificial Intelligence and Cybersecurity Education Innovation and Scholarship for Service (CyberAI SFS),U.S. National Science Foundation,Grant value varies,2027-04-05,194,https://www.grants.gov/search-results-detail/361238,"Matches cyber, cybersecurity; deadline in 194 days."
48,Medium,UK Contracts Finder,UK,National Agreement for the Provision of Digital Forensics Services - (Procurement led by The Forensic Capability Network (FCN - the Authority) on behalf of Dorset Police & Crime Commissioner),South West Police Procurement Department (SWPPD),GBP 60.0m,2028-10-16,754,https://www.contractsfinder.service.gov.uk/notice/0d055249-a5f5-4a3f-92ca-a6b8125a70fd,"Matches digital forensics, digital, it services; marked SME-suitable; value around GBP 60.0m; deadline in 754 days."
46,Medium,UK Contracts Finder,UK,NHS CFA Market Engagement RFI - Resource & Capacity Management System,N H S Shared Business Services,Value not disclosed,2026-09-28,5,https://www.contractsfinder.service.gov.uk/notice/bc58f4a2-d599-40fc-b710-2f595803bfce,"Matches cyber, data protection, software; marked SME-suitable; deadline in 5 days."
45,Medium,UK Contracts Finder,UK,"GB-Solihull: Sector digital platform for energy, water, and waste industries",Energy and Utility Skills Limited,GBP 1.0m,2026-10-16,23,https://www.contractsfinder.service.gov.uk/notice/b177bd63-9334-4c06-82fb-384016aa5040,"Matches digital, software; marked SME-suitable; value around GBP 1.0m; deadline in 23 days."
